,DEC,DISCOVERYNAME,DISCOVERYREFNAME,DISTARCSEC,GAIAGEST,GUNNG,GUNNGERR,GUNNI,GUNNIERR,GUNNR,GUNNRERR,GUNNY,GUNNYERR,GUNNZ,GUNNZERR,LIT_PARALLAX,LIT_PARALLAXREFNAME,LIT_PARALLAX_ERROR,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,PARALLAX,PARALLAX_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PMDEC,PMDEC_ERROR,PMRA,PMRA_ERROR,RA,SHORTNAME,SOURCE_ID,SPTNIRNAME,SPTNIRREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTPHONAME,SPTPHOREFNAME,TMASSH,TMASSHERR,TMASSJ,TMASSJERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,source_id
45,-15.64074281,         SIPS J0050-1538 ,2005A&A...435..363D,0.28,18.753,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,40.32,0.24,41.6,6.4,21.303,0.166,792.5,1.3,18.441,0.002,1555.6,15.2,16.782,0.011000000000000001,-484.31,0.31,-214.7,0.43,12.600764393, J0050-1538 ,2372272516761781888,     L0.5 ,2014ApJ...794..143B,      L1: ,2007AJ....133..439C,      ... ,               ... ,13.077,0.026000000000000002,13.779000000000002,0.023,12.647,0.027000000000000003,12.318,0.024,12.058,0.025,11.452,0.154,582.0
46,-15.738175904,  2MASSW J0051107-154417 ,2000AJ....120..447K,0.05,20.396,24.434,-99999.0,20.205,0.015,22.035999999999998,0.016,17.508,0.017,18.546,0.024,-99999.0,               ... ,-99999.0,       ...,                ...,29.1,1.35,36.4,5.9,21.45,0.17600000000000002,112.0,0.6,20.565,0.006,238.9,5.9,18.816,0.027000000000000003,-30.07,1.61,70.06,1.78,12.795284633, J0051-1544 ,2371519626175864960,      ... ,               ... ,     L3.5 ,2000AJ....120..447K,      ... ,               ... ,14.164000000000001,0.048,15.277000000000001,0.05,13.466,0.039,12.743,0.023,12.415999999999999,0.025,12.217,0.365,583.0
47,-36.519962475999996,  2MASS 00531899-3631102 ,2008ApJ...689.1295K,0.07,19.573,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,41.46,0.92,25.0,5.7,21.855,0.249,259.6,1.5,19.653,0.006,579.8,9.1,17.854,0.017,-108.27,1.18,67.15,1.1,13.329423715999999, J0053-3631 ,5001668709601989248,      L4: ,2013AJ....146..161M,     L3.5 ,2008ApJ...689.1295K,      ... ,               ... ,13.48,0.031,14.445,0.026000000000000002,12.937000000000001,0.028999999999999998,12.345999999999998,0.024,12.045,0.022000000000000002,11.505,0.17300000000000001,100.0
50,-6.85722578,  2MASSW J0058425-065123 ,2000AJ....120..447K,0.09,19.01,-99999.0,-99999.0,18.608,0.005,20.87,0.032,16.208,0.006,17.166,0.005,33.8,2013AJ....146..161M,4.0,      MG; ,2014ApJ...783..121G,34.54,0.36,46.6,5.9,21.180999999999997,0.139,441.6,1.1,19.076,0.003,838.7,8.0,17.453,0.01,-128.06,0.51,150.15,0.77,14.677934604, J0058-0651 ,2476262466795918080,       L0 ,2014ApJ...794..143B,       L0 ,2000AJ....120..447K,      ... ,               ... ,13.444,0.03,14.311,0.026000000000000002,12.904000000000002,0.033,12.567,0.024,12.265,0.025,11.543,0.414,2044.0
52,-59.555950814,  2MASS 01062285-5933185 ,2008AJ....136.1290R,0.1,19.131,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,27.91,0.34,38.3,7.8,21.393,0.221,445.8,1.4,19.065,0.004,843.2,8.5,17.447,0.011000000000000001,-191.28,0.43,48.38,0.67,16.59562642, J0106-5933 ,4903260597849834880,      ... ,               ... ,       L0 ,2008AJ....136.1290R,      ... ,               ... ,13.565999999999999,0.027999999999999997,14.33,0.035,13.005,0.040999999999999995,12.790999999999999,0.024,12.520999999999999,0.024,11.988,0.253,620.0
55,-49.914158564,        SSSPM J0109-4955 ,2005A&A...440.1061L,0.06,18.671,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,29.86,0.16,67.1,7.2,20.784000000000002,0.11599999999999999,1413.8,1.7,17.812,0.001,2584.0,10.1,16.230999999999998,0.004,139.34,0.2,88.65,0.18,17.288906034, J0109-4954 ,4928939932436444544,       L1 ,2005A&A...440.1061L,      M8: ,2008AJ....136.1290R,      ... ,               ... ,12.875,0.026000000000000002,13.546,0.024,12.45,0.027000000000000003,12.265999999999998,0.024,12.049000000000001,0.022000000000000002,11.681,0.18100000000000002,610.0
58,-34.057430406,  2MASSI J0117474-340325 ,2003AJ....126.2421C,0.05,19.828,-99999.0,-99999.0,19.867,0.012,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,26.11,2016ApJ...833...96L,1.88,      MG; ,2014ApJ...783..121G,25.56,0.71,31.3,7.6,21.612,0.264,137.1,0.8,20.346,0.006,282.4,6.4,18.635,0.025,-59.99,1.27,108.19,0.92,19.448450822, J0117-3403 ,5014541310703856256,  L1 beta ,2013ApJ...772...79A,      L2: ,2003AJ....126.2421C,      ... ,               ... ,14.209000000000001,0.039,15.177999999999999,0.036000000000000004,13.489,0.037000000000000005,13.047,0.024,12.644,0.024,11.73,0.214,317.0
60,-42.66969568,        SSSPM J0124-4240 ,2005A&A...440.1061L,0.07,18.515,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,38.78,0.16,70.6,4.8,20.73,0.07400000000000001,1779.3,1.9,17.563,0.001,3320.5,19.4,15.959000000000001,0.006,-240.96,0.19,-139.62,0.16,20.995301858, J0123-4240 ,4983839338285335680,     L2.5 ,2005A&A...440.1061L,       M8 ,2008AJ....136.1290R,      ... ,               ... ,12.47,0.023,13.152999999999999,0.024,12.037,0.024,11.78,0.023,11.562000000000001,0.021,11.325,0.179,428.0
62,-55.759045472,  2MASS 01282664-5545343 ,2007A&A...466.1059K,0.17,18.588,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,54.02,0.23,-99999.0,-99999.0,-99999.0,-99999.0,687.2,2.0,18.596,0.003,-99999.0,-99999.0,-99999.0,-99999.0,108.24,0.5,-234.96,0.57,22.109218819000002, J0128-5545 ,4910850865919078016,       L1 ,2007A&A...466.1059K,       L2 ,2008AJ....136.1290R,      ... ,               ... ,12.915999999999999,0.027999999999999997,13.775,0.027000000000000003,12.335999999999999,0.027999999999999997,11.963,0.023,11.705,0.021,11.222000000000001,0.11800000000000001,424.0
64,-44.761564873999994,   2MASS01303563-4445411 ,2011AJ....141....7D,0.08,18.632,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,      VB; ,2011AJ....141....7D,29.06,0.3,51.5,11.2,21.070999999999998,0.235,619.6,1.4,18.708,0.002,1224.3,11.3,17.042,0.01,-28.68,0.34,116.19,0.33,22.649200393, J0130-4445 ,4934682372428878208,    M9+L6 ,2011AJ....141....7D,      ... ,               ... ,      ... ,               ... ,13.39,0.031,14.065,0.028999999999999998,12.869000000000002,0.032,12.362,0.023,12.025,0.022000000000000002,11.202,0.129,184.0
65,38.031907237,  2MASS 01311838+3801554 ,2007AJ....133..439C,0.12,19.73,-99999.0,-99999.0,19.194000000000003,0.01,21.301,0.17300000000000001,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,40.2,0.83,-99999.0,-99999.0,-99999.0,-99999.0,250.9,1.6,19.69,0.006999999999999999,-99999.0,-99999.0,-99999.0,-99999.0,-33.8,1.15,379.25,1.05,22.828816060999998, J0131+3801 ,322492502798326144,      ... ,               ... ,      L4: ,2007AJ....133..439C,      ... ,               ... ,13.696,0.034,14.679,0.034,13.054,0.034,12.453,0.022000000000000002,12.202,0.022000000000000002,11.797,0.175,643.0
70,18.080366715,  2MASSW J0141032+180450 ,2003IAUS..211..197W,0.24,19.124000000000002,-99999.0,-99999.0,18.255,0.008,20.555999999999997,0.033,15.837,0.006,16.812,0.019,44.06,2014PASP..126...15W,2.05,       ...,                ...,42.3,0.29,42.5,6.5,21.28,0.16699999999999998,610.0,2.3,18.725,0.004,1178.7,18.1,17.083,0.017,-55.16,0.48,409.55,0.59,25.265407972, J0141+1804 ,94712996769289856,     L4.5 ,2003IAUS..211..197W,       L1 ,2007AJ....133..439C,      ... ,               ... ,13.034,0.026000000000000002,13.875,0.025,12.492,0.027999999999999997,12.16,0.023,11.927999999999999,0.021,11.589,0.18600000000000003,736.0
71,-46.566130539,  2MASS 01415823-4633574 ,2006ApJ...639.1120K,0.05,19.211,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,      MG; ,2014ApJ...783..121G,27.44,0.55,28.5,5.0,21.714000000000002,0.19,185.0,1.0,20.02,0.006,387.3,6.4,18.292,0.018000000000000002,-46.61,0.67,115.67,0.7,25.493368471, J0141-4633 ,4954323704550180352, L0 gamma ,2013ApJ...772...79A, L0 gamma ,2008ApJ...689.1295K,      ... ,               ... ,13.875,0.026000000000000002,14.832,0.043,13.097000000000001,0.032,12.584000000000001,0.023,12.185,0.022000000000000002,11.784,0.22399999999999998,183.0
72,-7.2714907,  2MASS 01443536-0716142 ,2003AJ....125..343L,0.34,19.4,-99999.0,-99999.0,19.469,0.016,21.646,0.076,16.529,0.01,17.625999999999998,0.005,-99999.0,               ... ,-99999.0,       ...,                ...,79.03,0.62,8.1,1.8,23.074,0.243,264.2,1.5,19.634,0.006,537.4,9.5,17.936,0.019,-196.93,0.72,384.02,1.11,26.149186186999998, J0144-0716 ,2467182154313027712,       L5 ,2013AJ....146..161M,       L5 ,2003AJ....125..343L,      ... ,               ... ,13.008,0.028999999999999998,14.190999999999999,0.026000000000000002,12.267999999999999,0.023,11.626,0.024,11.370999999999999,0.021,10.883,0.1,260.0
73,-49.914476015,  2MASSJ01473282-4954478 ,2006AJ....132..891R,2.49,18.322,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,           -99999. ,-99999.0,       ...,                ...,27.88,0.38,86.0,6.5,20.515,0.08199999999999999,1977.7,5.4,17.448,0.003,3709.0,17.7,15.839,0.005,-270.5,0.54,-47.41,0.51,26.886373495999997, J0147-4954 ,4940805552685869184,     L2.0 ,2013AJ....146..161M,      ... ,               ... ,   -99999.,           -99999. ,12.366,0.026000000000000002,13.058,0.027000000000000003,11.915999999999999,0.024,11.719000000000001,0.023,11.51,0.021,11.220999999999998,0.149,1101.0
79,25.714646523000003,  2MASSW J0208183+254253 ,2000AJ....120..447K,0.14,18.797,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,15.946,0.002,16.930999999999997,0.013999999999999999,-99999.0,               ... ,-99999.0,       ...,                ...,42.27,0.63,20.4,4.2,22.075,0.226,554.3,2.3,18.829,0.005,1055.6,12.0,17.203,0.012,-29.77,0.7,375.81,0.74,32.078399639000004, J0208+2542 ,105449766468765952,      ... ,               ... ,       L1 ,2000AJ....120..447K,      ... ,               ... ,13.107000000000001,0.03,13.989,0.026000000000000002,12.588,0.027000000000000003,12.192,0.023,11.955,0.022000000000000002,11.110999999999999,-99999.0,307.0
80,44.745266124,  2MASSI J0213288+444445 ,2003AJ....126.2421C,0.08,18.465,-99999.0,-99999.0,17.826,0.006999999999999999,20.244,0.031,15.375,0.006,16.338,0.001,50.0,2016ApJS..225...10F,2.1,       ...,                ...,51.68,0.38,36.0,7.2,21.461,0.217,944.5,2.4,18.25,0.003,1789.2,22.9,16.63,0.013999999999999999,-145.81,0.42,-52.15,0.58,33.369653219, J0213+4444 ,352200138749697408,      ... ,               ... ,     L1.5 ,2003AJ....126.2421C,      ... ,               ... ,12.757,0.024,13.494000000000002,0.025,12.213,0.023,11.872,0.023,11.614,0.021,11.258,0.166,187.0
81,-31.556973945,  2MASSI J0218291-313322 ,2003AJ....126.2421C,0.13,19.833,-99999.0,-99999.0,19.348,0.013999999999999999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,               ... ,-99999.0,       ...,                ...,43.11,0.57,52.4,9.9,21.053,0.204,232.3,1.2,19.773,0.005,444.5,11.8,18.142,0.028999999999999998,-124.8,1.25,-138.51,1.2,34.620558677, J0218-3133 ,4971581089304028288,       L4 ,2014ApJ...794..143B,       L3 ,2003AJ....126.2421C,      ... ,               ... ,13.808,0.037000000000000005,14.728,0.04,13.154000000000002,0.035,12.602,0.024,12.290999999999999,0.023,11.914000000000001,0.228,190.0
82,5.108573665,ULAS J021922.04+050630.7 ,2016A&A...589A..49S,0.17,19.938,-99999.0,-99999.0,19.47,0.005,21.643,0.048,16.941,0.006,17.923,0.008,-99999.0,           -99999. ,-99999.0,       ...,                ...,26.04,0.85,95.1,30.1,20.406,0.344,181.4,1.7,20.042,0.01,423.8,7.8,18.194000000000003,0.02,20.26,1.47,185.35,1.81,34.842292631, J0219+0506 ,2516832113694146560,      ... ,               ... ,      ... ,               ... ,       L3 ,2016A&A...589A..49S,14.050999999999998,0.044000000000000004,14.970999999999998,0.035,13.48,0.039,12.952,0.024,12.626,0.026000000000000002,12.001,0.28,472.0
83,-19.64543609,        SSSPM J0219-1939 ,2002A&A...389L..20L,0.11,19.406,-99999.0,-99999.0,18.458,0.01,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,37.2,2013AJ....146..161M,4.1,       ...,                ...,36.38,0.32,37.4,5.1,21.42,0.149,511.5,1.4,18.916,0.003,1000.2,7.5,17.262,0.008,-143.89,0.47,210.91,0.52,34.867856307, J0219-1938 ,5131045975099845376,     L2.5 ,2005A&A...440.1061L,       L1 ,2005A&A...440.1061L,      ... ,               ... ,13.339,0.027999999999999997,14.11,0.027000000000000003,12.91,0.034,12.57,0.024,12.322000000000001,0.024,12.485999999999999,0.371,829.0
